,id_x,provinsi_x,lat_x,long_x,id_y,provinsi_y,lat_y,long_y,jarak
77,13,SUMATERA BARAT,-0.75286,100.61145,12,SUMATERA UTARA,2.12579,99.37188,348.49708477801664
78,13,SUMATERA BARAT,-0.75286,100.61145,13,SUMATERA BARAT,-0.75286,100.61145,0.0
79,13,SUMATERA BARAT,-0.75286,100.61145,14,RIAU,0.30169,101.69065,167.77924242579704
80,13,SUMATERA BARAT,-0.75286,100.61145,15,JAMBI,-1.49985,102.46179,221.84409343546218
81,13,SUMATERA BARAT,-0.75286,100.61145,16,SUMATERA SELATAN,-3.32676,103.91272,465.2646646012736
82,13,SUMATERA BARAT,-0.75286,100.61145,17,BENGKULU,-3.56246,102.35309,367.48674465513915
83,13,SUMATERA BARAT,-0.75286,100.61145,18,LAMPUNG,-4.56169,105.35187,675.6611225198208
84,13,SUMATERA BARAT,-0.75286,100.61145,19,BANGKA BELITUNG,-2.79266,106.44924,687.2928791643868
85,13,SUMATERA BARAT,-0.75286,100.61145,21,KEPULAUAN RIAU,1.11699,104.11385,441.45892150970593
86,13,SUMATERA BARAT,-0.75286,100.61145,31,DKI JAKARTA,-6.19392,106.82203,916.975282667696
87,13,SUMATERA BARAT,-0.75286,100.61145,32,JAWA BARAT,-7.07702,107.64578,1050.161558710642
88,13,SUMATERA BARAT,-0.75286,100.61145,33,JAWA TENGAH,-7.13163,110.29649,1286.9187542745974
89,13,SUMATERA BARAT,-0.75286,100.61145,34,DI YOGYAKARTA,-7.85228,110.34945,1336.9912350058353
90,13,SUMATERA BARAT,-0.75286,100.61145,35,JAWA TIMUR,-7.49599,112.21402,1488.6589792090517
91,13,SUMATERA BARAT,-0.75286,100.61145,36,BANTEN,-6.41017,106.06597,872.8380928050673
92,13,SUMATERA BARAT,-0.75286,100.61145,51,BALI,-8.42503,115.19479,1826.5970884760206
93,13,SUMATERA BARAT,-0.75286,100.61145,52,NUSA TENGGARA BARAT,-8.61446,117.40105,2054.4129612640104
94,13,SUMATERA BARAT,-0.75286,100.61145,53,NUSA TENGGARA TIMUR,-8.64686,121.17406,2440.1869276476614
95,13,SUMATERA BARAT,-0.75286,100.61145,61,KALIMANTAN BARAT,-0.21465,111.42314,1203.648058519533
96,13,SUMATERA BARAT,-0.75286,100.61145,62,KALIMANTAN TENGAH,-1.72329,113.54711,1442.0701886627398
97,13,SUMATERA BARAT,-0.75286,100.61145,63,KALIMANTAN SELATAN,-3.01574,115.27913,1649.2877787319694
98,13,SUMATERA BARAT,-0.75286,100.61145,64,KALIMANTAN TIMUR,0.48299,116.47902,1769.700087618631
99,13,SUMATERA BARAT,-0.75286,100.61145,65,KALIMANTAN UTARA,3.08549,116.04875,1768.1574103441287
100,13,SUMATERA BARAT,-0.75286,100.61145,71,SULAWESI UTARA,0.63092,124.01862,2607.2415748669678
101,13,SUMATERA BARAT,-0.75286,100.61145,72,SULAWESI TENGAH,-1.39519,121.45617,2318.50677733038
102,13,SUMATERA BARAT,-0.75286,100.61145,73,SULAWESI SELATAN,-3.67159,119.83888,2160.6684224389737
103,13,SUMATERA BARAT,-0.75286,100.61145,74,SULAWESI TENGGARA,-4.06342,122.29421,2436.492645048401
104,13,SUMATERA BARAT,-0.75286,100.61145,75,GORONTALO,0.70103,122.48148,2437.141953626291
105,13,SUMATERA BARAT,-0.75286,100.61145,76,SULAWESI BARAT,-2.85719,119.04715,2062.135913196914
106,13,SUMATERA BARAT,-0.75286,100.61145,81,MALUKU,-3.26327,130.06423,3284.5670022548934
107,13,SUMATERA BARAT,-0.75286,100.61145,82,MALUKU UTARA,1.61056,127.75427,3029.2680783398673
108,13,SUMATERA BARAT,-0.75286,100.61145,91,PAPUA,-4.21805,138.17283,4189.676021055125
109,13,SUMATERA BARAT,-0.75286,100.61145,92,PAPUA BARAT,-1.36991,133.08497,3610.8933642797742
110,13,SUMATERA BARAT,-0.75286,100.61145,92,PAPUA BARAT DAYA,-0.83268,131.377645,3420.72518689364
111,13,SUMATERA BARAT,-0.75286,100.61145,93,PAPUA SELATAN,-8.17248,140.52879,4497.723429573307
112,13,SUMATERA BARAT,-0.75286,100.61145,94,PAPUA TENGAH,-3.36523,135.48951,3886.2167644082956
113,13,SUMATERA BARAT,-0.75286,100.61145,95,PAPUA PEGUNUNGAN,-4.07131,139.39152,4323.345033516786
114,14,RIAU,0.30169,101.69065,11,ACEH,4.72669,96.77379,735.045087960362
115,14,RIAU,0.30169,101.69065,12,SUMATERA UTARA,2.12579,99.37188,328.00037807211845
116,14,RIAU,0.30169,101.69065,13,SUMATERA BARAT,-0.75286,100.61145,167.77924242579704
117,14,RIAU,0.30169,101.69065,14,RIAU,0.30169,101.69065,0.0
118,14,RIAU,0.30169,101.69065,15,JAMBI,-1.49985,102.46179,217.89949916976127
119,14,RIAU,0.30169,101.69065,16,SUMATERA SELATAN,-3.32676,103.91272,473.0452427139958
120,14,RIAU,0.30169,101.69065,17,BENGKULU,-3.56246,102.35309,435.9352050379563
121,14,RIAU,0.30169,101.69065,18,LAMPUNG,-4.56169,105.35187,676.6510885344594
122,14,RIAU,0.30169,101.69065,19,BANGKA BELITUNG,-2.79266,106.44924,631.0060312206297
123,14,RIAU,0.30169,101.69065,21,KEPULAUAN RIAU,1.11699,104.11385,284.26850191950166
124,14,RIAU,0.30169,101.69065,31,DKI JAKARTA,-6.19392,106.82203,919.8061171931478
125,14,RIAU,0.30169,101.69065,32,JAWA BARAT,-7.07702,107.64578,1053.338572668362
126,14,RIAU,0.30169,101.69065,33,JAWA TENGAH,-7.13163,110.29649,1262.6727135054653
127,14,RIAU,0.30169,101.69065,34,DI YOGYAKARTA,-7.85228,110.34945,1320.4089204044335
128,14,RIAU,0.30169,101.69065,35,JAWA TIMUR,-7.49599,112.21402,1453.7903169200615
129,14,RIAU,0.30169,101.69065,36,BANTEN,-6.41017,106.06597,890.3670928602385
130,14,RIAU,0.30169,101.69065,51,BALI,-8.42503,115.19479,1783.4309376902204
131,14,RIAU,0.30169,101.69065,52,NUSA TENGGARA BARAT,-8.61446,117.40105,2003.0721846533431
132,14,RIAU,0.30169,101.69065,53,NUSA TENGGARA TIMUR,-8.64686,121.17406,2376.7384750573874
133,14,RIAU,0.30169,101.69065,61,KALIMANTAN BARAT,-0.21465,111.42314,1083.7229764503436
134,14,RIAU,0.30169,101.69065,62,KALIMANTAN TENGAH,-1.72329,113.54711,1337.3020833151106
135,14,RIAU,0.30169,101.69065,63,KALIMANTAN SELATAN,-3.01574,115.27913,1554.7298704594652
136,14,RIAU,0.30169,101.69065,64,KALIMANTAN TIMUR,0.48299,116.47902,1644.478107098945
137,14,RIAU,0.30169,101.69065,65,KALIMANTAN UTARA,3.08549,116.04875,1625.438149097389
138,14,RIAU,0.30169,101.69065,71,SULAWESI UTARA,0.63092,124.01862,2482.9436065133045
139,14,RIAU,0.30169,101.69065,72,SULAWESI TENGAH,-1.39519,121.45617,2205.732142655849
140,14,RIAU,0.30169,101.69065,73,SULAWESI SELATAN,-3.67159,119.83888,2064.5354206023403
141,14,RIAU,0.30169,101.69065,74,SULAWESI TENGGARA,-4.06342,122.29421,2340.1013158149535
142,14,RIAU,0.30169,101.69065,75,GORONTALO,0.70103,122.48148,2312.1702573750676
143,14,RIAU,0.30169,101.69065,76,SULAWESI BARAT,-2.85719,119.04715,1960.9439507378463
144,14,RIAU,0.30169,101.69065,81,MALUKU,-3.26327,130.06423,3178.2326848631624
145,14,RIAU,0.30169,101.69065,82,MALUKU UTARA,1.61056,127.75427,2901.325089633154
146,14,RIAU,0.30169,101.69065,91,PAPUA,-4.21805,138.17283,4084.1640089081657
147,14,RIAU,0.30169,101.69065,92,PAPUA BARAT,-1.36991,133.08497,3495.559224104651
148,14,RIAU,0.30169,101.69065,92,PAPUA BARAT DAYA,-0.83268,131.377645,3303.3664613914175
149,14,RIAU,0.30169,101.69065,93,PAPUA SELATAN,-8.17248,140.52879,4405.943054545188
150,14,RIAU,0.30169,101.69065,94,PAPUA TENGAH,-3.36523,135.48951,3778.302873560964
151,14,RIAU,0.30169,101.69065,95,PAPUA PEGUNUNGAN,-4.07131,139.39152,4216.898952442576
152,15,JAMBI,-1.49985,102.46179,11,ACEH,4.72669,96.77379,937.3789598183384
